"time_period","time_identifier","geographic_level","country_code","country_name","age","breakdown_topic","breakdown","achievement","number","percentage"
201011,"Academic year","National","E92000001","England","16","Free School Meal status","FSM not eligible","Level 2","335075","63.83767142"
201011,"Academic year","National","E92000001","England","16","Free School Meal status","FSM not eligible","Level 3","x","x"
201011,"Academic year","National","E92000001","England","16","Free School Meal status","FSM not eligible","Level 2 Engineering GCSE AC","330658","62.99615536"
201011,"Academic year","National","E92000001","England","16","Free School Meal status","FSM not eligible","Level 2 Engineering GCSE OTHL","347871","66.27553412"
201011,"Academic year","National","E92000001","England","16","Free School Meal status","FSM not eligible","Level 2 Maths GCSE AC","310293","59.11626525"
201011,"Academic year","National","E92000001","England","16","Free School Meal status","FSM not eligible","Level 2 Maths GCSE OTHL","326133","62.1340634"
201011,"Academic year","National","E92000001","England","16","Free School Meal status","FSM not eligible","Level 2 EM GCSE AC","272913","51.99471885"
201011,"Academic year","National","E92000001","England","16","Free School Meal status","FSM not eligible","Level 2 EM GCSE OTHL","293314","55.88146759"
201011,"Academic year","National","E92000001","England","16","Free School Meal status","FSM not eligible","Level 2 with EM","275072","52.40604627"
201011,"Academic year","National","E92000001","England","16","Free School Meal status","FSM not eligible","Level 2 Engineering FSQ","x","x"
201011,"Academic year","National","E92000001","England","16","Free School Meal status","FSM not eligible","Level 2 Maths FSQ","x","x"
201011,"Academic year","National","E92000001","England","16","Income Deprivation Affecting Children Index","Attainment gap (between least and most deprived)","State sector cohort","x","x"
201011,"Academic year","National","E92000001","England","16","Income Deprivation Affecting Children Index","Attainment gap (between least and most deprived)","Level 2","x","29.80160478"
201011,"Academic year","National","E92000001","England","16","Income Deprivation Affecting Children Index","Attainment gap (between least and most deprived)","Level 3","x","x"
201011,"Academic year","National","E92000001","England","16","Income Deprivation Affecting Children Index","Attainment gap (between least and most deprived)","Level 2 Engineering GCSE AC","x","33.04771965"
201011,"Academic year","National","E92000001","England","16","Income Deprivation Affecting Children Index","Attainment gap (between least and most deprived)","Level 2 Engineering GCSE OTHL","x","30.19099196"
201011,"Academic year","National","E92000001","England","16","Income Deprivation Affecting Children Index","Attainment gap (between least and most deprived)","Level 2 Maths GCSE AC","x","32.14785339"
201011,"Academic year","National","E92000001","England","16","Income Deprivation Affecting Children Index","Attainment gap (between least and most deprived)","Level 2 Maths GCSE OTHL","x","29.67180113"
201011,"Academic year","National","E92000001","England","16","Income Deprivation Affecting Children Index","Attainment gap (between least and most deprived)","Level 2 EM GCSE AC","x","34.23316812"
201011,"Academic year","National","E92000001","England","16","Income Deprivation Affecting Children Index","Attainment gap (between least and most deprived)","Level 2 EM GCSE OTHL","x","31.46609387"
201011,"Academic year","National","E92000001","England","16","Income Deprivation Affecting Children Index","Attainment gap (between least and most deprived)","Level 2 with EM","x","33.53202974"
201011,"Academic year","National","E92000001","England","16","Income Deprivation Affecting Children Index","Attainment gap (between least and most deprived)","Level 2 Engineering FSQ","x","x"
201011,"Academic year","National","E92000001","England","16","Income Deprivation Affecting Children Index","Attainment gap (between least and most deprived)","Level 2 Maths FSQ","x","x"
201011,"Academic year","National","E92000001","England","16","Income Deprivation Affecting Children Index","25% most deprived","State sector cohort","149471","x"
201011,"Academic year","National","E92000001","England","16","Income Deprivation Affecting Children Index","25% most deprived","Level 2","68558","45.86709128"
201011,"Academic year","National","E92000001","England","16","Income Deprivation Affecting Children Index","25% most deprived","Level 3","x","x"
201011,"Academic year","National","E92000001","England","16","Income Deprivation Affecting Children Index","25% most deprived","Level 2 Engineering GCSE AC","63759","42.65643503"
201011,"Academic year","National","E92000001","England","16","Income Deprivation Affecting Children Index","25% most deprived","Level 2 Engineering GCSE OTHL","71101","47.56842464"
201011,"Academic year","National","E92000001","England","16","Income Deprivation Affecting Children Index","25% most deprived","Level 2 Maths GCSE AC","59260","39.64648661"
201011,"Academic year","National","E92000001","England","16","Income Deprivation Affecting Children Index","25% most deprived","Level 2 Maths GCSE OTHL","65938","44.1142429"
201011,"Academic year","National","E92000001","England","16","Income Deprivation Affecting Children Index","25% most deprived","Level 2 EM GCSE AC","47292","31.63958226"
201011,"Academic year","National","E92000001","England","16","Income Deprivation Affecting Children Index","25% most deprived","Level 2 EM GCSE OTHL","55381","37.05133437"
201011,"Academic year","National","E92000001","England","16","Income Deprivation Affecting Children Index","25% most deprived","Level 2 with EM","48557","32.48590027"
201011,"Academic year","National","E92000001","England","16","Income Deprivation Affecting Children Index","25% most deprived","Level 2 Engineering FSQ","x","x"
201011,"Academic year","National","E92000001","England","16","Income Deprivation Affecting Children Index","25% most deprived","Level 2 Maths FSQ","x","x"
201011,"Academic year","National","E92000001","England","16","Income Deprivation Affecting Children Index","Lower middle","State sector cohort","149470","x"
201011,"Academic year","National","E92000001","England","16","Income Deprivation Affecting Children Index","Lower middle","Level 2","81733","54.68187596"
201011,"Academic year","National","E92000001","England","16","Income Deprivation Affecting Children Index","Lower middle","Level 3","x","x"
201011,"Academic year","National","E92000001","England","16","Income Deprivation Affecting Children Index","Lower middle","Level 2 Engineering GCSE AC","80416","53.80076269"
201011,"Academic year","National","E92000001","England","16","Income Deprivation Affecting Children Index","Lower middle","Level 2 Engineering GCSE OTHL","86335","57.76075467"
201011,"Academic year","National","E92000001","England","16","Income Deprivation Affecting Children Index","Lower middle","Level 2 Maths GCSE AC","74352","49.74376129"
201011,"Academic year","National","E92000001","England","16","Income Deprivation Affecting Children Index","Lower middle","Level 2 Maths GCSE OTHL","79711","53.32909614"
201011,"Academic year","National","E92000001","England","16","Income Deprivation Affecting Children Index","Lower middle","Level 2 EM GCSE AC","62883","42.07064963"
201011,"Academic year","National","E92000001","England","16","Income Deprivation Affecting Children Index","Lower middle","Level 2 EM GCSE OTHL","69734","46.6541781"
201011,"Academic year","National","E92000001","England","16","Income Deprivation Affecting Children Index","Lower middle","Level 2 with EM","63751","42.65136817"
201011,"Academic year","National","E92000001","England","16","Income Deprivation Affecting Children Index","Lower middle","Level 2 Engineering FSQ","x","x"
201011,"Academic year","National","E92000001","England","16","Income Deprivation Affecting Children Index","Lower middle","Level 2 Maths FSQ","x","x"
201011,"Academic year","National","E92000001","England","16","Income Deprivation Affecting Children Index","Upper middle","State sector cohort","149470","x"
201011,"Academic year","National","E92000001","England","16","Income Deprivation Affecting Children Index","Upper middle","Level 2","98465","65.87609554"
201011,"Academic year","National","E92000001","England","16","Income Deprivation Affecting Children Index","Upper middle","Level 3","x","x"
201011,"Academic year","National","E92000001","England","16","Income Deprivation Affecting Children Index","Upper middle","Level 2 Engineering GCSE AC","98074","65.61450458"
201011,"Academic year","National","E92000001","England","16","Income Deprivation Affecting Children Index","Upper middle","Level 2 Engineering GCSE OTHL","102336","68.46591289"
201011,"Academic year","National","E92000001","England","16","Income Deprivation Affecting Children Index","Upper middle","Level 2 Maths GCSE AC","92337","61.77627618"
201011,"Academic year","National","E92000001","England","16","Income Deprivation Affecting Children Index","Upper middle","Level 2 Maths GCSE OTHL","96212","64.36876965"
201011,"Academic year","National","E92000001","England","16","Income Deprivation Affecting Children Index","Upper middle","Level 2 EM GCSE AC","81649","54.62567739"
201011,"Academic year","National","E92000001","England","16","Income Deprivation Affecting Children Index","Upper middle","Level 2 EM GCSE OTHL","86743","58.03371914"
201011,"Academic year","National","E92000001","England","16","Income Deprivation Affecting Children Index","Upper middle","Level 2 with EM","81917","54.80497759"
201011,"Academic year","National","E92000001","England","16","Income Deprivation Affecting Children Index","Upper middle","Level 2 Engineering FSQ","x","x"
201011,"Academic year","National","E92000001","England","16","Income Deprivation Affecting Children Index","Upper middle","Level 2 Maths FSQ","x","x"
201011,"Academic year","National","E92000001","England","16","Income Deprivation Affecting Children Index","25% least deprived","State sector cohort","149470","x"
201011,"Academic year","National","E92000001","England","16","Income Deprivation Affecting Children Index","25% least deprived","Level 2","113102","75.66869606"
201011,"Academic year","National","E92000001","England","16","Income Deprivation Affecting Children Index","25% least deprived","Level 3","x","x"
201011,"Academic year","National","E92000001","England","16","Income Deprivation Affecting Children Index","25% least deprived","Level 2 Engineering GCSE AC","113155","75.70415468"
201011,"Academic year","National","E92000001","England","16","Income Deprivation Affecting Children Index","25% least deprived","Level 2 Engineering GCSE OTHL","116227","77.75941661"
201011,"Academic year","National","E92000001","England","16","Income Deprivation Affecting Children Index","25% least deprived","Level 2 Maths GCSE AC","107311","71.79434"
201011,"Academic year","National","E92000001","England","16","Income Deprivation Affecting Children Index","25% least deprived","Level 2 Maths GCSE OTHL","110288","73.78604402"
201011,"Academic year","National","E92000001","England","16","Income Deprivation Affecting Children Index","25% least deprived","Level 2 EM GCSE AC","98460","65.87275038"
201011,"Academic year","National","E92000001","England","16","Income Deprivation Affecting Children Index","25% least deprived","Level 2 EM GCSE OTHL","102413","68.51742825"
201011,"Academic year","National","E92000001","England","16","Income Deprivation Affecting Children Index","25% least deprived","Level 2 with EM","98677","66.01793002"
201011,"Academic year","National","E92000001","England","16","Income Deprivation Affecting Children Index","25% least deprived","Level 2 Engineering FSQ","x","x"
201011,"Academic year","National","E92000001","England","16","Income Deprivation Affecting Children Index","25% least deprived","Level 2 Maths FSQ","x","x"
201011,"Academic year","National","E92000001","England","16","Special Educational Need","No identified SEN","State sector cohort","470068","x"
201011,"Academic year","National","E92000001","England","16","Special Educational Need","No identified SEN","Level 2","331351","70.49001421"
201011,"Academic year","National","E92000001","England","16","Special Educational Need","No identified SEN","Level 3","x","x"
201011,"Academic year","National","E92000001","England","16","Special Educational Need","No identified SEN","Level 2 Engineering GCSE AC","329399","70.07475514"
201011,"Academic year","National","E92000001","England","16","Special Educational Need","No identified SEN","Level 2 Engineering GCSE OTHL","344818","73.35491886"
201011,"Academic year","National","E92000001","England","16","Special Educational Need","No identified SEN","Level 2 Maths GCSE AC","307682","65.45478527"
201011,"Academic year","National","E92000001","England","16","Special Educational Need","No identified SEN","Level 2 Maths GCSE OTHL","322133","68.52902133"
201011,"Academic year","National","E92000001","England","16","Special Educational Need","No identified SEN","Level 2 EM GCSE AC","273501","58.18328412"
201011,"Academic year","National","E92000001","England","16","Special Educational Need","No identified SEN","Level 2 EM GCSE OTHL","292494","62.22376337"
201011,"Academic year","National","E92000001","England","16","Special Educational Need","No identified SEN","Level 2 with EM","275598","58.62938979"
201011,"Academic year","National","E92000001","England","16","Special Educational Need","No identified SEN","Level 2 Engineering FSQ","x","x"
201011,"Academic year","National","E92000001","England","16","Special Educational Need","No identified SEN","Level 2 Maths FSQ","x","x"
201011,"Academic year","National","E92000001","England","16","Special Educational Need","Identified SEN","State sector cohort","130150","x"
201011,"Academic year","National","E92000001","England","16","Special Educational Need","Identified SEN","Level 2","31623","24.29734921"
201011,"Academic year","National","E92000001","England","16","Special Educational Need","Identified SEN","Level 3","x","x"
201011,"Academic year","National","E92000001","England","16","Special Educational Need","Identified SEN","Level 2 Engineering GCSE AC","27133","20.84748367"
201011,"Academic year","National","E92000001","England","16","Special Educational Need","Identified SEN","Level 2 Engineering GCSE OTHL","32386","24.88359585"
201011,"Academic year","National","E92000001","England","16","Special Educational Need","Identified SEN","Level 2 Maths GCSE AC","26572","20.41644257"
201011,"Academic year","National","E92000001","England","16","Special Educational Need","Identified SEN","Level 2 Maths GCSE OTHL","31088","23.88628506"
201011,"Academic year","National","E92000001","England","16","Special Educational Need","Identified SEN","Level 2 EM GCSE AC","17629","13.54514022"
201011,"Academic year","National","E92000001","England","16","Special Educational Need","Identified SEN","Level 2 EM GCSE OTHL","22694","17.43680369"
201011,"Academic year","National","E92000001","England","16","Special Educational Need","Identified SEN","Level 2 with EM","18134","13.93315405"
201011,"Academic year","National","E92000001","England","16","Special Educational Need","Identified SEN","Level 2 Engineering FSQ","x","x"
201011,"Academic year","National","E92000001","England","16","Special Educational Need","Identified SEN","Level 2 Maths FSQ","x","x"
201011,"Academic year","National","E92000001","England","16","Total","Total","State sector cohort","600220","x"
201011,"Academic year","National","E92000001","England","16","Total","Total","Level 2","362974","60.47349305"
201011,"Academic year","National","E92000001","England","16","Total","Total","Level 3","x","x"
201011,"Academic year","National","E92000001","England","16","Total","Total","Level 2 Engineering GCSE AC","356533","59.40038652"
201011,"Academic year","National","E92000001","England","16","Total","Total","Level 2 Engineering GCSE OTHL","377205","62.84445703"
201011,"Academic year","National","E92000001","England","16","Total","Total","Level 2 Maths GCSE AC","334254","55.68858085"
201011,"Academic year","National","E92000001","England","16","Total","Total","Level 2 Maths GCSE OTHL","353222","58.84875546"
201011,"Academic year","National","E92000001","England","16","Total","Total","Level 2 EM GCSE AC","291130","48.50388191"
201011,"Academic year","National","E92000001","England","16","Total","Total","Level 2 EM GCSE OTHL","315189","52.51224551"
201011,"Academic year","National","E92000001","England","16","Total","Total","Level 2 with EM","293732","48.93738962"
201011,"Academic year","National","E92000001","England","16","Total","Total","Level 2 Engineering FSQ","97","0.016160741"
201011,"Academic year","National","E92000001","England","16","Total","Total","Level 2 Maths FSQ","291","0.048482223"
201011,"Academic year","National","E92000001","England","17","Sex","Female","State sector cohort","294143","x"
201011,"Academic year","National","E92000001","England","17","Sex","Female","Level 2","220008","74.79627256"
201011,"Academic year","National","E92000001","England","17","Sex","Female","Level 3","58471","19.87842648"
201011,"Academic year","National","E92000001","England","17","Sex","Female","Level 2 Engineering GCSE AC","203928","69.32954379"
201011,"Academic year","National","E92000001","England","17","Sex","Female","Level 2 Engineering GCSE OTHL","215703","73.33269872"
201011,"Academic year","National","E92000001","England","17","Sex","Female","Level 2 Maths GCSE AC","173186","58.8781647"
201011,"Academic year","National","E92000001","England","17","Sex","Female","Level 2 Maths GCSE OTHL","183626","62.42745875"
201011,"Academic year","National","E92000001","England","17","Sex","Female","Level 2 EM GCSE AC","163081","55.44276083"
201011,"Academic year","National","E92000001","England","17","Sex","Female","Level 2 EM GCSE OTHL","175156","59.54790697"
201011,"Academic year","National","E92000001","England","17","Sex","Female","Level 2 with EM","168343","57.23168663"
201011,"Academic year","National","E92000001","England","17","Sex","Female","Level 2 Engineering FSQ","x","x"
201011,"Academic year","National","E92000001","England","17","Sex","Female","Level 2 Maths FSQ","x","x"
201011,"Academic year","National","E92000001","England","17","Sex","Male","State sector cohort","306077","x"
201011,"Academic year","National","E92000001","England","17","Sex","Male","Level 2","199750","65.2613558"
201011,"Academic year","National","E92000001","England","17","Sex","Male","Level 3","43345","14.16146917"
201011,"Academic year","National","E92000001","England","17","Sex","Male","Level 2 Engineering GCSE AC","167342","54.67317048"
201011,"Academic year","National","E92000001","England","17","Sex","Male","Level 2 Engineering GCSE OTHL","187724","61.33227913"
201011,"Academic year","National","E92000001","England","17","Sex","Male","Level 2 Maths GCSE AC","174798","57.10915881"
201011,"Academic year","National","E92000001","England","17","Sex","Male","Level 2 Maths GCSE OTHL","190048","62.09156519"
201011,"Academic year","National","E92000001","England","17","Sex","Male","Level 2 EM GCSE AC","146426","47.83959592"
201011,"Academic year","National","E92000001","England","17","Sex","Male","Level 2 EM GCSE OTHL","166440","54.37847339"
201011,"Academic year","National","E92000001","England","17","Sex","Male","Level 2 with EM","154235","50.3909147"
201011,"Academic year","National","E92000001","England","17","Sex","Male","Level 2 Engineering FSQ","x","x"
201011,"Academic year","National","E92000001","England","17","Sex","Male","Level 2 Maths FSQ","x","x"
201011,"Academic year","National","E92000001","England","17","Free School Meal status","FSM eligible","State sector cohort","75334","x"
201011,"Academic year","National","E92000001","England","17","Free School Meal status","FSM eligible","Level 2","36943","49.03894656"
201011,"Academic year","National","E92000001","England","17","Free School Meal status","FSM eligible","Level 3","4022","5.338890806"
201011,"Academic year","National","E92000001","England","17","Free School Meal status","FSM eligible","Level 2 Engineering GCSE AC","27868","36.99259299"
201011,"Academic year","National","E92000001","England","17","Free School Meal status","FSM eligible","Level 2 Engineering GCSE OTHL","33147","44.0000531"
201011,"Academic year","National","E92000001","England","17","Free School Meal status","FSM eligible","Level 2 Maths GCSE AC","25344","33.64218016"
201011,"Academic year","National","E92000001","England","17","Free School Meal status","FSM eligible","Level 2 Maths GCSE OTHL","29556","39.23328112"
201011,"Academic year","National","E92000001","England","17","Free School Meal status","FSM eligible","Level 2 EM GCSE AC","20157","26.75684286"
201011,"Academic year","National","E92000001","England","17","Free School Meal status","FSM eligible","Level 2 EM GCSE OTHL","24903","33.05678711"
201011,"Academic year","National","E92000001","England","17","Free School Meal status","FSM eligible","Level 2 with EM","21969","29.16213131"
201011,"Academic year","National","E92000001","England","17","Free School Meal status","FSM eligible","Level 2 Engineering FSQ","x","x"
201011,"Academic year","National","E92000001","England","17","Free School Meal status","FSM eligible","Level 2 Maths FSQ","x","x"
201011,"Academic year","National","E92000001","England","17","Free School Meal status","FSM not eligible","State sector cohort","524886","x"
201011,"Academic year","National","E92000001","England","17","Free School Meal status","FSM not eligible","Level 2","382815","72.93297973"
201011,"Academic year","National","E92000001","England","17","Free School Meal status","FSM not eligible","Level 3","97794","18.63147426"
201011,"Academic year","National","E92000001","England","17","Free School Meal status","FSM not eligible","Level 2 Engineering GCSE AC","343402","65.42411114"
201011,"Academic year","National","E92000001","England","17","Free School Meal status","FSM not eligible","Level 2 Engineering GCSE OTHL","370280","70.54484212"
201011,"Academic year","National","E92000001","England","17","Free School Meal status","FSM not eligible","Level 2 Maths GCSE AC","322640","61.46858556"
201011,"Academic year","National","E92000001","England","17","Free School Meal status","FSM not eligible","Level 2 Maths GCSE OTHL","344118","65.56052171"
201011,"Academic year","National","E92000001","England","17","Free School Meal status","FSM not eligible","Level 2 EM GCSE AC","289350","55.12625599"
201011,"Academic year","National","E92000001","England","17","Free School Meal status","FSM not eligible","Level 2 EM GCSE OTHL","316693","60.33557763"
201011,"Academic year","National","E92000001","England","17","Free School Meal status","FSM not eligible","Level 2 with EM","300609","57.2712932"
201011,"Academic year","National","E92000001","England","17","Free School Meal status","FSM not eligible","Level 2 Engineering FSQ","x","x"
201011,"Academic year","National","E92000001","England","17","Free School Meal status","FSM not eligible","Level 2 Maths FSQ","x","x"
201011,"Academic year","National","E92000001","England","17","Income Deprivation Affecting Children Index","Attainment gap (between least and most deprived)","State sector cohort","x","x"
201011,"Academic year","National","E92000001","England","17","Income Deprivation Affecting Children Index","Attainment gap (between least and most deprived)","Level 2","x","25.31181712"
201011,"Academic year","National","E92000001","England","17","Income Deprivation Affecting Children Index","Attainment gap (between least and most deprived)","Level 3","x","20.02413584"
201011,"Academic year","National","E92000001","England","17","Income Deprivation Affecting Children Index","Attainment gap (between least and most deprived)","Level 2 Engineering GCSE AC","x","x"
201011,"Academic year","National","E92000001","England","17","Income Deprivation Affecting Children Index","Attainment gap (between least and most deprived)","Level 2 Engineering GCSE OTHL","x","x"
201011,"Academic year","National","E92000001","England","17","Income Deprivation Affecting Children Index","Attainment gap (between least and most deprived)","Level 2 Maths GCSE AC","x","x"
201011,"Academic year","National","E92000001","England","17","Income Deprivation Affecting Children Index","Attainment gap (between least and most deprived)","Level 2 Maths GCSE OTHL","x","x"
201011,"Academic year","National","E92000001","England","17","Income Deprivation Affecting Children Index","Attainment gap (between least and most deprived)","Level 2 EM GCSE AC","x","x"
201011,"Academic year","National","E92000001","England","17","Income Deprivation Affecting Children Index","Attainment gap (between least and most deprived)","Level 2 EM GCSE OTHL","x","x"
201011,"Academic year","National","E92000001","England","17","Income Deprivation Affecting Children Index","Attainment gap (between least and most deprived)","Level 2 with EM","x","x"
201011,"Academic year","National","E92000001","England","17","Income Deprivation Affecting Children Index","Attainment gap (between least and most deprived)","Level 2 Engineering FSQ","x","x"
201011,"Academic year","National","E92000001","England","17","Income Deprivation Affecting Children Index","Attainment gap (between least and most deprived)","Level 2 Maths FSQ","x","x"
201011,"Academic year","National","E92000001","England","17","Income Deprivation Affecting Children Index","25% most deprived","State sector cohort","149471","x"
201011,"Academic year","National","E92000001","England","17","Income Deprivation Affecting Children Index","25% most deprived","Level 2","85654","57.30476146"
201011,"Academic year","National","E92000001","England","17","Income Deprivation Affecting Children Index","25% most deprived","Level 3","11335","7.583410829"
201011,"Academic year","National","E92000001","England","17","Income Deprivation Affecting Children Index","25% most deprived","Level 2 Engineering GCSE AC","68013","45.50247205"
201011,"Academic year","National","E92000001","England","17","Income Deprivation Affecting Children Index","25% most deprived","Level 2 Engineering GCSE OTHL","78541","52.54597882"
201011,"Academic year","National","E92000001","England","17","Income Deprivation Affecting Children Index","25% most deprived","Level 2 Maths GCSE AC","62376","41.73117193"
201011,"Academic year","National","E92000001","England","17","Income Deprivation Affecting Children Index","25% most deprived","Level 2 Maths GCSE OTHL","70861","47.40785838"
201011,"Academic year","National","E92000001","England","17","Income Deprivation Affecting Children Index","25% most deprived","Level 2 EM GCSE AC","51640","34.54850774"
201011,"Academic year","National","E92000001","England","17","Income Deprivation Affecting Children Index","25% most deprived","Level 2 EM GCSE OTHL","61691","41.27288906"
201011,"Academic year","National","E92000001","England","17","Income Deprivation Affecting Children Index","25% most deprived","Level 2 with EM","55807","37.33633949"
201011,"Academic year","National","E92000001","England","17","Income Deprivation Affecting Children Index","25% most deprived","Level 2 Engineering FSQ","x","x"
201011,"Academic year","National","E92000001","England","17","Income Deprivation Affecting Children Index","25% most deprived","Level 2 Maths FSQ","x","x"
201011,"Academic year","National","E92000001","England","17","Income Deprivation Affecting Children Index","Lower middle","State sector cohort","149470","x"
201011,"Academic year","National","E92000001","England","17","Income Deprivation Affecting Children Index","Lower middle","Level 2","97753","65.39974577"
201011,"Academic year","National","E92000001","England","17","Income Deprivation Affecting Children Index","Lower middle","Level 3","19324","12.92834683"
201011,"Academic year","National","E92000001","England","17","Income Deprivation Affecting Children Index","Lower middle","Level 2 Engineering GCSE AC","84111","56.27283067"
201011,"Academic year","National","E92000001","England","17","Income Deprivation Affecting Children Index","Lower middle","Level 2 Engineering GCSE OTHL","93272","62.40181976"
201011,"Academic year","National","E92000001","England","17","Income Deprivation Affecting Children Index","Lower middle","Level 2 Maths GCSE AC","77684","51.97297116"
201011,"Academic year","National","E92000001","England","17","Income Deprivation Affecting Children Index","Lower middle","Level 2 Maths GCSE OTHL","84912","56.80872416"
201011,"Academic year","National","E92000001","England","17","Income Deprivation Affecting Children Index","Lower middle","Level 2 EM GCSE AC","67286","45.01639125"
201011,"Academic year","National","E92000001","England","17","Income Deprivation Affecting Children Index","Lower middle","Level 2 EM GCSE OTHL","76339","51.07312504"
201011,"Academic year","National","E92000001","England","17","Income Deprivation Affecting Children Index","Lower middle","Level 2 with EM","71111","47.5754332"
201011,"Academic year","National","E92000001","England","17","Income Deprivation Affecting Children Index","Lower middle","Level 2 Engineering FSQ","x","x"
201011,"Academic year","National","E92000001","England","17","Income Deprivation Affecting Children Index","Lower middle","Level 2 Maths FSQ","x","x"
201011,"Academic year","National","E92000001","England","17","Income Deprivation Affecting Children Index","Upper middle","State sector cohort","149470","x"
201011,"Academic year","National","E92000001","England","17","Income Deprivation Affecting Children Index","Upper middle","Level 2","111506","74.60092326"
201011,"Academic year","National","E92000001","England","17","Income Deprivation Affecting Children Index","Upper middle","Level 3","29660","19.84344685"
201011,"Academic year","National","E92000001","England","17","Income Deprivation Affecting Children Index","Upper middle","Level 2 Engineering GCSE AC","101493","67.90192012"
201011,"Academic year","National","E92000001","England","17","Income Deprivation Affecting Children Index","Upper middle","Level 2 Engineering GCSE OTHL","108599","72.65605138"
201011,"Academic year","National","E92000001","England","17","Income Deprivation Affecting Children Index","Upper middle","Level 2 Maths GCSE AC","95895","64.15668696"
201011,"Academic year","National","E92000001","England","17","Income Deprivation Affecting Children Index","Upper middle","Level 2 Maths GCSE OTHL","101467","67.88452532"
201011,"Academic year","National","E92000001","England","17","Income Deprivation Affecting Children Index","Upper middle","Level 2 EM GCSE AC","86337","57.76209273"
201011,"Academic year","National","E92000001","England","17","Income Deprivation Affecting Children Index","Upper middle","Level 2 EM GCSE OTHL","93555","62.59115542"
201011,"Academic year","National","E92000001","England","17","Income Deprivation Affecting Children Index","Upper middle","Level 2 with EM","89144","59.64006155"
