time_period,time_identifier,geographic_level,country_code,country_name,age,breakdown_topic,breakdown,number-in_ss_cohort,percentage-level_2,number-level_2,percentage-level_3,number-level_3,percentage-l2_eng_gcse_ac,number-l2_eng_gcse_ac,percentage-l2_eng_gcse_othl2,number-l2_eng_gcse_othl2,percentage-l2_maths_gcse_ac,number-l2_maths_gcse_ac,percentage-l2_maths_gcse_othl2,number-l2_maths_gcse_othl2,percentage-l2_em_gcse_ac,number-l2_em_gcse_ac,percentage-l2_em_gcse_othl2,number-l2_em_gcse_othl2,percentage-l2_with_em,number-l2_with_em,percentage-l2_eng_fsq,number-l2_eng_fsq,percentage-l2_maths_fsq,number-l2_maths_fsq
201011,Academic year,National,E92000001,England,17,Income Deprivation Affecting Children Index,Lower middle,149470,65.39974577,97753,12.92834683,19324,56.27283067,84111,62.40181976,93272,51.97297116,77684,56.80872416,84912,45.01639125,67286,51.07312504,76339,47.5754332,71111,x,x,x,x
201011,Academic year,National,E92000001,England,17,Income Deprivation Affecting Children Index,Upper middle,149470,74.60092326,111506,19.84344685,29660,67.90192012,101493,72.65605138,108599,64.15668696,95895,67.88452532,101467,57.76209273,86337,62.59115542,93555,59.64006155,89144,x,x,x,x
201011,Academic year,National,E92000001,England,17,Income Deprivation Affecting Children Index,25% least deprived,149470,82.61657858,123487,27.60754666,41265,77.91530073,116460,81.41901385,121697,74.23830869,110964,77.1071118,115252,69.12223189,103317,72.90760688,108975,70.62286747,105560,x,x,x,x
201011,Academic year,National,E92000001,England,17,Special Educational Need,No identified SEN,470068,79.08962108,371775,20.74891292,97534,72.57630811,341158,77.63004501,364914,67.95272173,319424,72.04744845,338672,61.55300935,289341,66.92010518,314570,63.80757678,299939,x,x,x,x
201011,Academic year,National,E92000001,England,17,Special Educational Need,Identified SEN,130150,36.86746062,47983,3.290049942,4282,23.13561275,30111,29.59047253,38512,21.94391087,28560,26.89281598,35001,15.4944295,20166,20.7645025,27025,17.39454476,22639,x,x,x,x
201011,Academic year,National,E92000001,England,17,Total,Total,600220,69.93402419,419758,16.96311353,101816,61.85565293,371270,67.2131885,403427,57.97607544,347984,62.25617274,373674,51.56559262,309507,56.91179901,341596,53.74329413,322578,0.126287028,758,0.136616574,820
201011,Academic year,National,E92000001,England,18,Sex,Female,294143,82.09986299,241491,50.4431518,148375,70.12133554,206257,75.79986605,222960,59.78928616,175866,64.55159565,189874,56.5986612,166481,62.03411266,182469,60.58073794,178194,x,x,x,x
201011,Academic year,National,E92000001,England,18,Sex,Male,306077,74.67957409,228577,39.40577044,120612,55.72486662,170561,64.98495477,198904,57.83969393,177034,64.70692015,198053,49.04256119,150108,57.81943759,176972,55.14788762,168795,x,x,x,x
201011,Academic year,National,E92000001,England,18,Free School Meal status,FSM eligible,75334,60.26495341,45400,22.30732471,16805,38.34921815,28890,48.25444023,36352,34.52889797,26012,42.14829957,31752,28.08957443,21161,36.44171291,27453,33.60103008,25313,x,x,x,x
201011,Academic year,National,E92000001,England,18,Free School Meal status,FSM not eligible,524886,80.90671117,424668,48.04509932,252182,66.28639362,347928,73.44680559,385512,62.27790415,326888,67.85759193,356175,56.28422172,295428,63.24954371,331988,61.28492663,321676,x,x,x,x
201011,Academic year,National,E92000001,England,18,Income Deprivation Affecting Children Index,Attainment gap (between least and most deprived),x,20.75980291,x,31.95844898,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
201011,Academic year,National,E92000001,England,18,Income Deprivation Affecting Children Index,25% most deprived,149471,67.7415686,101254,29.36957671,43899,46.8699614,70057,56.5674947,84552,42.70259783,63828,50.23716975,75090,35.99360411,53800,44.67087261,66770,41.95128152,62705,x,x,x,x
201011,Academic year,National,E92000001,England,18,Income Deprivation Affecting Children Index,Lower middle,149470,74.83842912,111861,38.61845186,57723,57.22285408,85531,65.79179769,98339,52.79788586,78917,59.47213488,88893,46.21127986,69072,54.28112665,81134,51.95959055,77664,x,x,x,x
201011,Academic year,National,E92000001,England,18,Income Deprivation Affecting Children Index,Upper middle,149470,82.35565665,123097,50.153208,74964,68.67799558,102653,75.42115475,112732,64.90867733,97019,70.08362882,104754,58.84123904,87950,65.46330367,97848,63.56191878,95006,x,x,x,x
201011,Academic year,National,E92000001,England,18,Income Deprivation Affecting Children Index,25% least deprived,149470,88.50137151,132283,61.32802569,91667,78.52010437,117364,83.53047434,124853,74.96955911,112057,78.91750853,117958,70.13112999,104825,75.32882853,112594,73.98140095,110580,x,x,x,x
201011,Academic year,National,E92000001,England,18,Special Educational Need,Identified SEN,130150,50.42412601,65627,14.77525932,19230,24.19900115,31495,33.98693815,44234,22.59854015,29412,29.68651556,38637,16.43027276,21384,23.80945063,30988,21.29773338,27719,x,x,x,x
201011,Academic year,National,E92000001,England,18,Special Educational Need,No identified SEN,470068,86.03861569,404440,53.13210004,249757,73.46213739,345322,80.33497281,377629,68.8172775,323488,74.30605785,349289,62.80048844,295205,69.87329493,328452,67.91996052,319270,x,x,x,x
201011,Academic year,National,E92000001,England,18,Total,Total,600220,78.31595082,470068,44.8147346,268987,62.77998067,376818,70.28489554,421864,58.79510846,352900,64.63080204,387927,52.74549332,316589,59.88487555,359441,57.81030289,346989,0.297724168,1787,0.248575522,1492
201011,Academic year,National,E92000001,England,19,Sex,Female,294143,84.75469415,249300,58.58782973,172332,70.4919036,207347,76.87043377,226109,60.16733358,176978,65.87408165,193764,57.0521821,167815,63.46878899,186689,62.31934807,183308,x,x,x,x
201011,Academic year,National,E92000001,England,19,Sex,Male,306077,78.46685638,240169,48.77138759,149278,56.18161443,171959,66.54011899,203664,58.17130983,178049,66.06997586,202225,49.53002022,151600,59.55004786,182269,57.50252387,176002,x,x,x,x
201011,Academic year,National,E92000001,England,19,Free School Meal status,FSM not eligible,524886,83.88278598,440289,56.68640429,297539,66.6659046,349920,74.68821801,392028,62.60845212,328623,69.15253979,362972,56.7277466,297756,64.78663938,340056,63.27507306,332122,x,x,x,x
201011,Academic year,National,E92000001,England,19,Free School Meal status,FSM eligible,75334,65.28260812,49180,31.9523721,24071,39.0076194,29386,50.10353891,37745,35.04924735,26404,43.82748825,33017,28.75063053,21659,38.36514721,28902,36.08994611,27188,x,x,x,x
201011,Academic year,National,E92000001,England,19,Income Deprivation Affecting Children Index,Attainment gap (between least and most deprived),x,18.3660409,x,29.47239885,x,31.19386879,x,26.14744304,x,32.01875429,x,28.13308247,x,33.7842823,x,30.03777715,x,31.1771217,x,x,x,x,x
201011,Academic year,National,E92000001,England,19,Income Deprivation Affecting Children Index,25% most deprived,149471,72.13305591,107818,39.45581417,58975,47.56842464,71101,58.31164574,87159,43.20369838,64577,51.83748018,77482,36.67601073,54820,46.55016692,69579,44.38051528,66336,x,x,x,x
201011,Academic year,National,E92000001,England,19,Income Deprivation Affecting Children Index,Lower middle,149470,78.56091523,117425,47.72128186,71329,57.63698401,86150,67.22887536,100487,53.16919783,79472,60.95269954,91106,46.69766508,69799,55.99317589,83693,54.21355456,81033,x,x,x,x
201011,Academic year,National,E92000001,England,19,Income Deprivation Affecting Children Index,Upper middle,149470,85.15822573,127286,58.43915167,87349,68.98173547,103107,76.58125376,114466,65.19970563,97454,71.32334248,106607,59.22660066,88526,66.95791798,100082,65.51682612,97928,x,x,x,x
201011,Academic year,National,E92000001,England,19,Income Deprivation Affecting Children Index,25% least deprived,149470,90.49909681,135269,68.92821302,103027,78.76229344,117726,84.45908878,126241,75.22245267,112435,79.97056265,119532,70.46029304,105317,76.58794407,114476,75.55763698,112936,x,x,x,x
201011,Academic year,National,E92000001,England,19,Special Educational Need,Identified SEN,130150,56.34114483,73328,22.86208221,29755,24.75297733,32216,35.95159431,46791,22.98962735,29921,31.40991164,40880,16.90741452,22005,25.6749904,33416,23.64271994,30771,x,x,x,x
201011,Academic year,National,E92000001,England,19,Special Educational Need,No identified SEN,470068,88.52761728,416140,62.08782559,291855,73.83804045,347089,81.47331875,382980,69.16148302,325106,75.54396385,355108,63.26956951,297410,71.38137461,335541,69.89180289,328539,x,x,x,x
201011,Academic year,National,E92000001,England,19,Total,Total,600220,81.54826564,489469,53.58201993,321610,63.19449535,379306,71.60257905,429773,59.14947852,355027,65.97397621,395989,53.21632068,319415,61.47046083,368958,59.86305021,359310,0.494818567,2970,0.483322782,2901
201011,Academic year,National,E92000001,England,19 not 16,Sex,Female,294143,x,x,x,x,10.06527821,9714,23.83713771,21293,8.340243769,10661,16.10614292,19271,9.461764495,13202,17.44214635,22702,x,x,x,x,x,x
201011,Academic year,National,E92000001,England,19 not 16,Sex,Male,306077,x,x,x,x,8.872989666,13059,23.3940219,31275,7.320110033,10112,18.45023086,23496,8.895376268,15083,20.05940274,31067,x,x,x,x,x,x
201011,Academic year,National,E92000001,England,19 not 16,Free School Meal status,FSM eligible,75334,x,x,x,x,7.098809115,3511,18.28478261,8411,4.755416269,2443,12.28728366,5928,6.026226868,3442,13.14465291,7027,x,x,x,x,x,x
201011,Academic year,National,E92000001,England,19 not 16,Free School Meal status,FSM not eligible,524886,x,x,x,x,9.917210701,19262,24.94534361,44157,8.541751129,18330,18.53506614,36839,9.859389697,24843,20.18465099,46742,x,x,x,x,x,x
201011,Academic year,National,E92000001,England,19 not 16,Income Deprivation Affecting Children Index,25% most deprived,149471,x,x,x,x,8.565895091,7342,20.48998341,16058,5.893959717,5317,13.81968803,11544,7.367462982,7528,15.08980763,14198,x,x,x,x,x,x
201011,Academic year,National,E92000001,England,19 not 16,Income Deprivation Affecting Children Index,Lower middle,149470,x,x,x,x,8.303646422,5734,22.41545894,14152,6.815942916,5120,16.33480985,11395,7.987342211,6916,17.50652152,13959,x,x,x,x,x,x
201011,Academic year,National,E92000001,England,19 not 16,Income Deprivation Affecting Children Index,Upper middle,149470,x,x,x,x,9.792590863,5033,25.73513812,12130,8.956294961,5117,19.51819445,10395,10.13992716,6877,21.26516492,13339,x,x,x,x,x,x
201011,Academic year,National,E92000001,England,19 not 16,Income Deprivation Affecting Children Index,25% least deprived,149470,x,x,x,x,12.58708523,4571,30.12363505,10014,12.15398847,5124,23.59246593,9244,13.44246226,6857,25.63486835,12063,x,x,x,x,x,x
201011,Academic year,National,E92000001,England,19 not 16,Special Educational Need,Identified SEN,130150,x,x,x,x,4.934137084,5083,14.73446258,14405,3.233312093,3349,9.884718661,9792,3.889051821,4376,9.978037522,10722,x,x,x,x,x,x
201011,Academic year,National,E92000001,England,19 not 16,Special Educational Need,No identified SEN,470068,x,x,x,x,12.57562078,17690,30.46866267,38162,10.72998904,17424,22.29019502,32975,12.16328275,23909,24.24172458,43047,x,x,x,x,x,x
201011,Academic year,National,E92000001,England,19 not 16,Total,Total,600220,x,x,x,x,9.345184602,22773,23.57150864,52568,7.810396818,20773,17.3147151,42767,9.151056327,28285,18.86426389,53769,x,x,x,x,x,x
201112,Academic year,National,E92000001,England,16,Sex,Male,295547,59.38006476,175496,x,x,54.30506823,160497,58.76967115,173692,58.0611544,171598,61.69847774,182348,47.38501829,140045,52.25463293,154437,47.5741591,140604,x,x,x,x
201112,Academic year,National,E92000001,England,16,Sex,Female,284672,68.16581891,194049,x,x,68.92142536,196200,71.41306486,203293,58.51014501,166562,61.62074247,175417,54.55963354,155316,58.01764838,165160,55.01348921,156608,x,x,x,x
201112,Academic year,National,E92000001,England,16,Free School Meal status,FSM not eligible,505516,66.93596246,338372,x,x,65.05669455,328872,68.3756795,345650,61.73632486,312087,64.96134643,328390,54.45366714,275272,58.49508225,295702,54.77650559,276904,x,x,x,x
201112,Academic year,National,E92000001,England,16,Free School Meal status,FSM eligible,74703,41.72924782,31173,x,x,37.2475001,27825,41.94610658,31335,34.90221276,26073,39.3223833,29375,26.89182496,20089,31.9866672,23895,27.18498588,20308,x,x,x,x
201112,Academic year,National,E92000001,England,16,Income Deprivation Affecting Children Index,Attainment gap (between least and most deprived),x,27.13595198,x,x,x,31.02241709,x,28.5031803,x,30.45917777,x,28.14959031,x,32.61305861,x,30.15194718,x,32.4380069,x,x,x,x,x
201112,Academic year,National,E92000001,England,16,Income Deprivation Affecting Children Index,25% most deprived,144527,50.59539048,73124,x,x,45.85164018,66268,50.6362133,73183,43.12688979,62330,47.68866717,68923,34.90835622,50452,40.31841801,58271,35.38577567,51142,x,x,x,x
201112,Academic year,National,E92000001,England,16,Income Deprivation Affecting Children Index,Lower middle,144526,58.22066618,84144,x,x,56.0515063,81009,60.0058121,86724,52.77458727,76273,56.5552219,81737,44.7614962,64692,49.44231488,71457,45.09915171,65180,x,x,x,x
201112,Academic year,National,E92000001,England,16,Income Deprivation Affecting Children Index,Upper middle,144526,68.38146769,98829,x,x,67.3048448,97273,70.27939609,101572,63.83211325,92254,66.74439201,96463,56.61541868,81824,60.27981125,87120,56.77386768,82053,x,x,x,x
201112,Academic year,National,E92000001,England,16,Income Deprivation Affecting Children Index,25% least deprived,144526,77.73134246,112342,x,x,76.87405726,111103,79.1393936,114377,73.58606756,106351,75.83825748,109606,67.52141483,97586,70.47036519,101848,67.82378257,98023,x,x,x,x
201112,Academic year,National,E92000001,England,16,Special Educational Need,No identified SEN,442030,74.13026265,327678,x,x,72.90025564,322241,76.03737303,336108,68.85256657,304349,72.00144787,318268,61.5811144,272207,65.63853132,290142,61.89625139,273600,x,x,x,x
201112,Academic year,National,E92000001,England,16,Special Educational Need,Identified SEN,138189,30.2969122,41867,x,x,24.93396725,34456,29.58050207,40877,24.46721519,33811,28.58186976,39497,16.75531338,23154,21.3150106,29455,17.08674352,23612,x,x,x,x
201112,Academic year,National,E92000001,England,16,Total,Total,580219,63.69060648,369545,x,x,61.47627017,356697,64.97288093,376985,58.28144201,338160,61.6603386,357765,50.90508929,295361,55.08213278,319597,51.22410676,297212,0.163903629,951,0.109958481,638
201112,Academic year,National,E92000001,England,17,Sex,Male,295547,68.9037615,203643,14.88426545,43990,57.31880209,169404,64.09538923,189432,60.22899911,178005,65.17136022,192612,50.79124471,150112,57.41286496,169682,53.24093968,157352,x,x,x,x
201112,Academic year,National,E92000001,England,17,Sex,Female,284672,77.59948291,220904,20.89773494,59490,71.25955486,202856,75.22130733,214134,61.08960488,173905,64.92665243,184828,57.76226675,164433,62.0753007,176711,59.67394054,169875,x,x,x,x
201112,Academic year,National,E92000001,England,17,Free School Meal status,FSM not eligible,505516,75.98987965,384141,19.61203997,99142,67.71674883,342319,72.85486513,368293,64.1497005,324287,68.34402868,345490,57.83575594,292369,63.1491387,319229,59.96308722,303123,x,x,x,x
201112,Academic year,National,E92000001,England,17,Free School Meal status,FSM eligible,74703,54.08885855,40406,5.806995703,4338,40.08005033,29941,47.21764855,35273,36.97709597,27623,42.76936669,31950,29.6855548,22176,36.36266281,27164,32.26644178,24104,x,x,x,x
201112,Academic year,National,E92000001,England,17,Income Deprivation Affecting Children Index,Attainment gap (between least and most deprived),x,22.49949577,x,19.96878436,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
201112,Academic year,National,E92000001,England,17,Income Deprivation Affecting Children Index,25% most deprived,144527,62.12610792,89789,8.527818332,12325,48.9285739,70715,55.89751396,80787,45.30018612,65471,51.13300629,73901,38.00051202,54921,44.86151377,64837,40.75570655,58903,x,x,x,x
201112,Academic year,National,E92000001,England,17,Income Deprivation Affecting Children Index,Lower middle,144526,68.75095139,99363,13.83488092,19995,58.74929079,84908,64.88797863,93780,55.04961045,79561,60.00927169,86729,47.95054177,69301,54.13627998,78241,50.35011001,72769,x,x,x,x
201112,Academic year,National,E92000001,England,17,Income Deprivation Affecting Children Index,Upper middle,144526,77.34594467,111785,20.58799109,29755,69.89261448,101013,74.65369553,107894,66.32024688,95850,70.17768429,101425,60.04801904,86785,64.98761469,93924,61.96324537,89553,x,x,x,x
201112,Academic year,National,E92000001,England,17,Income Deprivation Affecting Children Index,25% least deprived,144526,84.6256037,122306,28.49660269,41185,79.2328024,114512,82.94009382,119870,76.11779195,110010,79.05774739,114259,71.0232069,102647,74.99204295,108383,72.70110568,105072,x,x,x,x
201112,Academic year,National,E92000001,England,17,Special Educational Need,No identified SEN,442030,82.39780105,364223,22.17111961,98003,75.61138384,334225,80.42282198,355493,71.38633124,315549,75.40212203,333300,65.18426351,288134,70.46037599,311456,67.3076488,297520,x,x,x,x
201112,Academic year,National,E92000001,England,17,Special Educational Need,Identified SEN,138189,43.6532575,60324,3.963412428,5477,27.52389843,38035,34.787863,48073,26.31251402,36361,31.94176092,44140,19.11223035,26411,25.28204126,34937,21.49736954,29707,x,x,x,x
201112,Academic year,National,E92000001,England,17,Total,Total,580219,73.17013059,424547,17.83464519,103480,64.15853324,372260,69.55408217,403566,60.65123686,351910,65.0512996,377440,54.21142706,314545,59.70038899,346393,56.39715349,327227,0.44310855,2571,0.254214357,1475
201112,Academic year,National,E92000001,England,18,Sex,Female,284672,84.51656643,240595,51.44411814,146447,72.04150742,205082,76.71671257,218391,62.11850832,176834,66.63598808,189694,59.01809802,168008,64.04809746,182327,62.68126124,178436,x,x,x,x
201112,Academic year,National,E92000001,England,18,Sex,Male,295547,77.82247832,230002,41.61368581,122988,58.35011013,172452,66.20199156,195658,60.96153911,180170,66.90780147,197744,52.01203193,153720,59.80233262,176744,57.35399107,169508,x,x,x,x
201112,Academic year,National,E92000001,England,18,Free School Meal status,FSM not eligible,505516,83.52416145,422228,49.69180006,251200,68.57052991,346635,74.58220907,377025,65.00605322,328616,70.02963309,354011,59.04363067,298475,65.29842775,330094,63.4792964,320898,x,x,x,x
201112,Academic year,National,E92000001,England,18,Free School Meal status,FSM eligible,74703,64.74840368,48369,24.40999692,18235,41.36246202,30899,49.56159726,37024,38.00115123,28388,44.74652959,33427,31.12726397,23253,38.78960684,28977,36.20470396,27046,x,x,x,x
201112,Academic year,National,E92000001,England,18,Income Deprivation Affecting Children Index,Attainment gap (between least and most deprived),x,18.03877531,x,31.07836395,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
201112,Academic year,National,E92000001,England,18,Income Deprivation Affecting Children Index,25% most deprived,144527,72.04051838,104118,31.6280003,45711,50.25081819,72626,58.30121707,84261,46.36919053,67016,53.21704595,76913,39.49919392,57087,47.43473538,68556,44.9597653,64979,x,x,x,x
201112,Academic year,National,E92000001,England,18,Income Deprivation Affecting Children Index,Lower middle,144526,77.84066535,112500,40.17062674,58057,59.69514136,86275,66.87308858,96649,55.91035523,80805,61.83108922,89362,49.17039149,71064,56.43897984,81569,54.23107261,78378,x,x,x,x
201112,Academic year,National,E92000001,England,18,Income Deprivation Affecting Children Index,Upper middle,144526,84.6214522,122300,51.4225814,74319,70.60736476,102046,76.19182708,110117,67.11733529,97002,71.78154796,103743,61.15716203,88388,67.00593665,96841,65.28375517,94352,x,x,x,x
201112,Academic year,National,E92000001,England,18,Income Deprivation Affecting Children Index,25% least deprived,144526,90.07929369,130188,62.70636425,90627,79.88389632,115453,84.239514,121748,76.90311778,111145,80.43812186,116254,72.14826398,104273,76.83946141,111053,75.57740476,109229,x,x,x,x
201112,Academic year,National,E92000001,England,18,Special Educational Need,No identified SEN,442030,88.80958306,392565,55.45596453,245132,76.43236884,337854,82.00868719,362503,72.29147343,319550,77.0508789,340588,66.44503767,293707,72.61203991,320967,70.8490374,313174,x,x,x,x
201112,Academic year,National,E92000001,England,18,Special Educational Need,Identified SEN,138189,56.46759149,78032,17.58678332,24303,28.71429709,39680,37.30108764,51546,27.10345975,37454,33.90284321,46850,20.27730138,28021,27.57383004,38104,25.16119228,34770,x,x,x,x
201112,Academic year,National,E92000001,England,18,Total,Total,580219,81.10678899,470597,46.43677646,269435,65.06750037,377534,71.36081376,414049,61.52918122,357004,66.77444206,387438,55.4494079,321728,61.88542602,359071,59.96770185,347944,0.811417758,4708,0.589260262,3419
201112,Academic year,National,E92000001,England,19,Sex,Female,284672,86.66113984,246700,59.39256407,169074,72.33482745,205917,77.75158779,221337,62.48700259,177883,67.95153721,193439,59.4508768,169240,65.45146695,186322,64.35441491,183199,x,x,x,x
201112,Academic year,National,E92000001,England,19,Sex,Male,295547,80.94854625,239241,51.05516212,150892,58.67357814,173408,67.56725665,199693,61.25590854,181040,68.15734892,201437,52.41095325,154899,61.30700024,181191,59.38886201,175522,x,x,x,x
201112,Academic year,National,E92000001,England,19,Free School Meal status,FSM eligible,74703,68.80312705,51398,34.08564582,25463,41.90728619,31306,51.3259173,38342,38.43486875,28712,46.37163166,34641,31.70287673,23683,40.49502697,30251,38.35321205,28651,x,x,x,x
201112,Academic year,National,E92000001,England,19,Free School Meal status,FSM not eligible,505516,85.96028612,434543,58.25789886,294503,68.84430958,348019,75.70245057,382688,65.32157241,330211,71.2608503,360235,59.43550748,300456,66.71638484,337262,65.29368012,330070,x,x,x,x
201112,Academic year,National,E92000001,England,19,Income Deprivation Affecting Children Index,Attainment gap (between least and most deprived),x,16.13602839,x,28.458144,x,29.29750199,x,25.08309903,x,30.31736034,x,26.60320482,x,32.34255493,x,28.76817456,x,29.83232902,x,x,x,x,x
201112,Academic year,National,E92000001,England,19,Income Deprivation Affecting Children Index,25% most deprived,144527,75.63846202,109318,41.72023221,60297,50.77321193,73381,59.97010939,86673,46.82031731,67668,54.7800757,79172,40.09423845,57947,49.19634394,71102,47.18426315,68194,x,x,x,x
201112,Academic year,National,E92000001,England,19,Income Deprivation Affecting Children Index,Lower middle,144526,80.79791871,116774,49.19460858,71099,60.00096868,86717,68.12130689,98453,56.25354607,81301,63.22253435,91373,49.60283963,71689,57.95427812,83759,56.20372805,81229,x,x,x,x
201112,Academic year,National,E92000001,England,19,Income Deprivation Affecting Children Index,Upper middle,144526,86.93591465,125645,59.68130302,86255,70.82670246,102363,77.27052572,111676,67.41416769,97431,73.00693301,105514,61.5051963,88891,68.42367463,98890,67.07443643,96940,x,x,x,x
201112,Academic year,National,E92000001,England,19,Income Deprivation Affecting Children Index,25% least deprived,144526,91.7744904,132638,70.17837621,101426,80.07071392,115723,85.05320842,122924,77.13767765,111484,81.38328052,117620,72.43679338,104690,77.96451849,112679,77.01659217,111309,x,x,x,x
201112,Academic year,National,E92000001,England,19,Special Educational Need,No identified SEN,442030,90.76148678,401193,64.26011809,284049,76.70701084,339068,83.01925209,366970,72.6143022,320977,78.1980861,345659,66.85722689,295529,73.97416465,326988,72.61520711,320981,x,x,x,x
201112,Academic year,National,E92000001,England,19,Special Educational Need,Identified SEN,138189,61.32760205,84748,25.99121493,35917,29.13184117,40257,39.12033519,54060,27.45949388,37946,35.61571471,49217,20.70352922,28610,29.32577846,40525,27.31042268,37740,x,x,x,x
201112,Academic year,National,E92000001,England,19,Total,Total,580219,83.7513077,485941,55.14572946,319966,65.37617693,379325,72.56398015,421030,61.85991841,358923,68.05637182,394876,55.86494065,324139,63.34039389,367513,61.82510397,358721,1.207475109,7006,1.004965367,5831
